titulo,autores,anio,revista,doi,bloque,consulta,fuente_api
Relationship of pungency and leading flavour attributes in model food matrices – temporal aspects,"Kostyra, E.; Baryłko-Pikielna, N.; Dąbrowska, U.",2010,Food Quality and Preference,10.1016/j.foodqual.2009.03.007,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Reliability of stable isotope values from meat juice for the determination of the meat origin,"Horacek, Micha; Eisinger, Elisabeth; Papesch, Wolfgang",2010,Food Chemistry,10.1016/j.foodchem.2009.03.090,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Determination of nutritional and toxic elements in pasteurized bovine milk from Vale do Paraiba region (Brazil),"Soares, Vanessa A.; Kus, Mahyara M.M.; Peixoto, André Luis C.; Carrocci, Juliana S.; Salazar, Rodrigo F.S.; Izário Filho, Hélcio J.",2010,Food Control,10.1016/j.foodcont.2009.03.010,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Surveillance of pesticide residues in fruits from Valencia during twenty months (2004/05),"Berrada, H.; Fernández, M.; Ruiz, M.J.; Moltó, J.C.; Mañes, J.; Font, G.",2010,Food Control,10.1016/j.foodcont.2009.03.011,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Ochratoxin A removal in synthetic media by living and heat-inactivated cells of Oenococcus oeni isolated from wines,"Mateo, Eva M.; Medina, Ángel; Mateo, Fernando; Valle-Algarra, Francisco M.; Pardo, Isabel; Jiménez, Misericordia",2010,Food Control,10.1016/j.foodcont.2009.03.012,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Contamination of UHT milk by aflatoxin M1 in Iran,"Heshmati, Ali; Milani, Jafar M.",2010,Food Control,10.1016/j.foodcont.2009.03.013,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Determination of histamine and biogenic amines in fish cubes (Tetrapturus angustirostris) implicated in a food-borne poisoning,"Chen, Hwi-Chang; Huang, Yu-Ru; Hsu, Hsiu-Hua; Lin, Chung-Saint; Chen, Wen-Chieh; Lin, Chia-Min; Tsai, Yung-Hsiang",2010,Food Control,10.1016/j.foodcont.2009.03.014,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Target cattle age of post-slaughter testing for bovine spongiform encephalopathy and infectivity entering the human food chain in Japan,"Kiyohara, Kosuke; Hashimoto, Shuji; Kawamura, Takashi; Hamasaki, Toshiyuki; Yamamoto, Shigeki; Kakehashi, Masayuki; Yoshikawa, Yasuhiro",2010,Food Control,10.1016/j.foodcont.2009.03.017,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Interception of quorum sensing signal molecule by furanone to enhance shelf life of fermented milk,"Shobharani, P.; Agrawal, Renu",2010,Food Control,10.1016/j.foodcont.2009.03.018,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Knowledge, attitude and practice of Taif University students on food poisoning","Sharif, Labib; Al-Malki, Talal",2010,Food Control,10.1016/j.foodcont.2009.03.015,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
A survey on the sanitary condition of commercial foods of plant origin sold in Brazil,"Nunes, Bruno N.; Cruz, Adriano G.; Faria, Jose A.F.; Sant´ Ana, Anderson S.; Silva, Ramon; Moura, Mirian R.L.",2010,Food Control,10.1016/j.foodcont.2009.03.016,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Pharmacological evidences for the extracts and secondary metabolites from plants of the genus Hibiscus,"Maganha, Elemar Gomes; Halmenschlager, Rafael da Costa; Rosa, Renato Moreira; Henriques, João Antonio Pegas; Ramos, Ana Lígia Lia de Paula; Saffi, Jenifer",2010,Food Chemistry,10.1016/j.foodchem.2009.04.005,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Free listing: A method to gain initial insight of a food category,"Hough, G.; Ferraris, D.",2010,Food Quality and Preference,10.1016/j.foodqual.2009.04.001,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Food habits of the Tibetan fox (Vulpes ferrilata) in the Kunlun Mountains, Qinghai Province, China","Liu, Qunxiu; Harris, Richard B.; Wang, Xiaoming",2010,Mammalian Biology,10.1016/j.mambio.2009.02.002,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Crystallization in “Tarassaco” Italian honey studied by DSC,"Venir, Elena; Spaziani, Massimiliano; Maltini, Enrico",2010,Food Chemistry,10.1016/j.foodchem.2009.04.012,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Water quality for Espresso coffee,"Navarini, L.; Rivetti, D.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.019,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Analysis of lactic acid bacteria populations during spontaneous malolactic fermentation of Tempranillo wines at five wineries during two consecutive vintages,"Ruiz, P.; Izquierdo, P.M.; Seseña, S.; Palop, M.Ll.",2010,Food Control,10.1016/j.foodcont.2009.04.002,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Utilisation of pectin coating to enhance spray-dry stability of pea protein-stabilised oil-in-water emulsions,"Gharsallaoui, Adem; Saurel, Rémi; Chambin, Odile; Cases, Eliane; Voilley, Andrée; Cayot, Philippe",2010,Food Chemistry,10.1016/j.foodchem.2009.04.017,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"DETERMINATION OF DRYING PARAMETERS, ASCORBIC ACID CONTENTS AND COLOR CHARACTERISTICS OF NETTLE LEAVES DURING MICROWAVE‐, AIR‐ AND COMBINED MICROWAVE–AIR‐DRYING","ALIBAS, ILKNUR",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00268.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
DETERMINATION OF OIL POINT PRESSURE FOR MELON SEEDS,"TUNDE‐AKINTUNDE, T.Y.",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00271.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Rapid determination of five post-harvest fungicides and metabolite in citrus fruits by liquid chromatography/time-of-flight mass spectrometry with atmospheric pressure photoionization,"Yoshioka, Naoki; Akiyama, Yumi; Matsuoka, Tomofumi; Mitsuhashi, Takao",2010,Food Control,10.1016/j.foodcont.2009.04.001,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Fruit pectins – A suitable tool for screening gelling properties using infrared spectroscopy,"Lima, M.S.; Paiva, E.P.; Andrade, S.A.C.; Paixão, J.A.",2010,Food Hydrocolloids,10.1016/j.foodhyd.2009.04.002,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Thurstonian models for sensory discrimination tests as generalized linear models,"Brockhoff, Per Bruun; Christensen, Rune Haubo Bojesen",2010,Food Quality and Preference,10.1016/j.foodqual.2009.04.003,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Sweet cherry phytochemicals: Identification and characterization by HPLC-DAD/ESI-MS in six sweet-cherry cultivars grown in Valle del Jerte (Spain),"González-Gómez, David; Lozano, Mercedes; Fernández-León, María F.; Bernalte, María J.; Ayuso, María C.; Rodríguez, Ana B.",2010,Journal of Food Composition and Analysis,10.1016/j.jfca.2009.02.008,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Effects of Trolox and ascorbic acid on the riboflavin photosensitised oxidation of aromatic amino acids,"Yettella, Ramesh R.; Min, David B.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.022,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Substrate contribution on carotenoids production in Blakeslea trispora cultivations,"Papaioannou, E.H.; Liakopoulou-Kyriakides, M.",2010,Food and Bioproducts Processing,10.1016/j.fbp.2009.03.001,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Optimizing endopectinase production from date pomace by Aspergillus niger PC5 using response surface methodology,"Rezazadeh Bari, M.; Alizadeh, M.; Farbeh, F.",2010,Food and Bioproducts Processing,10.1016/j.fbp.2009.03.004,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"A novel bacteriocin with a broad inhibitory spectrum produced by Lactobacillus sake C2, isolated from traditional Chinese fermented cabbage","Gao, Yurong; Jia, Shiru; Gao, Qiang; Tan, Zhilei",2010,Food Control,10.1016/j.foodcont.2009.04.003,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Managing water in agriculture for food production and other ecosystem services,"Gordon, Line J.; Finlayson, C. Max; Falkenmark, Malin",2010,Agricultural Water Management,10.1016/j.agwat.2009.03.017,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Continuous H2 and CH4 production from high-solid food waste in the two-stage thermophilic fermentation process with the recirculation of digester sludge,"Lee, Dong-Yeol; Ebie, Yoshitaka; Xu, Kai-Qin; Li, Yu-You; Inamori, Yuhei",2010,Bioresource Technology,10.1016/j.biortech.2009.03.037,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Juice clarification by protease and pectinase treatments indicates new roles of pectin and protein in cherry juice turbidity,"Pinelo, Manuel; Zeuner, Birgitte; Meyer, Anne S.",2010,Food and Bioproducts Processing,10.1016/j.fbp.2009.03.005,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antioxidant and anticancer activities of 8-hydroxypsoralen isolated from wampee [Clausena lansium (Lour.) Skeels] peel,"Prasad, K. Nagendra; Xie, Haihui; Hao, Jing; Yang, Bao; Qiu, Shengxiang; Wei, Xiaoyi; Chen, Fang; Jiang, Yueming",2010,Food Chemistry,10.1016/j.foodchem.2009.04.073,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
ATP-regulation of antioxidant properties and phenolics in litchi fruit during browning and pathogen infection process,"Yi, Chun; Jiang, Yueming; Shi, John; Qu, Hongxia; Xue, Sophia; Duan, Xuewu; Shi, Jingyu; Prasad, Nagendra K.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.074,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Impact of emulsifier microenvironments on acid–base equilibrium and activity of antioxidants,"Oehlke, Kathleen; Heins, Anja; Stöckmann, Heiko; Schwarz, Karin",2010,Food Chemistry,10.1016/j.foodchem.2009.04.078,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Tracing the geographical origin of honeys based on volatile compounds profiles assessment using pattern recognition techniques,"Stanimirova, I.; Üstün, B.; Cajka, T.; Riddelova, K.; Hajslova, J.; Buydens, L.M.C.; Walczak, B.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.079,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"A novel approach to authenticity control of whole grain durum wheat (Triticum durum Desf.) flour and pasta, based on analysis of alkylresorcinol composition","Knödler, Matthias; Most, Maike; Schieber, Andreas; Carle, Reinhold",2010,Food Chemistry,10.1016/j.foodchem.2009.04.080,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Characterisation by SPME–GC–MS of the volatile profile of a Spanish soft cheese P.D.O. Torta del Casar during ripening,"Delgado, Francisco José; González-Crespo, José; Cava, Ramón; García-Parra, Jesús; Ramírez, Rosario",2010,Food Chemistry,10.1016/j.foodchem.2009.04.081,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antioxidant activities of phenolic rich fractions (PRFs) obtained from black mahlab (Monechma ciliatum) and white mahlab (Prunus mahaleb) seedcakes,"Mariod, Abdalbasit Adam; Ibrahim, Ramlah Mohamad; Ismail, Maznah; Ismail, Norsharina",2010,Food Chemistry,10.1016/j.foodchem.2009.04.085,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
A novel angiotensin I converting enzyme inhibitory peptide from tuna frame protein hydrolysate and its antihypertensive effect in spontaneously hypertensive rats,"Lee, Sang-Hoon; Qian, Zhong-Ji; Kim, Se-Kwon",2010,Food Chemistry,10.1016/j.foodchem.2009.04.086,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Determination of isoflavone content and antioxidant activity in Psoralea corylifolia L. callus cultures,"Shinde, Amit N.; Malpathak, Nutan; Fulzele, Devanand P.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.093,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Heat-induced changes in dairy products containing sucrose,"Rozycki, S.D.; Buera, M.P.; Pauletti, M.S.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.096,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antiproliferative and antioxidant properties of anthocyanin-rich extract from açai,"Hogan, Shelly; Chung, Hyun; Zhang, Lei; Li, Jianrong; Lee, Yongwoo; Dai, Yumin; Zhou, Kequan",2010,Food Chemistry,10.1016/j.foodchem.2009.04.099,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antioxidant activity of Potentilla fulgens: An alpine plant of western Himalaya,"Jaitak, Vikas; Sharma, Kapil; Kalia, Kalpana; Kumar, Neeraj; H.P.Singh; Kaul, V.K.; Singh, Bikram",2010,Journal of Food Composition and Analysis,10.1016/j.jfca.2009.02.013,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Effects of combined treatments of high pressure, temperature and antimicrobial products on germination of mung bean seeds and microbial quality of sprouts","Peñas, Elena; Gómez, Rosario; Frías, Juana; Vidal-Valverde, Concepción",2010,Food Control,10.1016/j.foodcont.2009.04.008,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Pressurized liquid extraction coupled to liquid chromatography for the analysis of ochratoxin A in breakfast and infants cereals from Morocco,"Zinedine, A.; Blesa, J.; Mahnine, N.; El Abidi, A.; Montesano, D.; Mañes, J.",2010,Food Control,10.1016/j.foodcont.2009.04.009,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Separation and isolation of β-sitosterol oxides and their non-mutagenic potential in the Salmonella microsome assay,"Koschutnig, Karin; Kemmo, Suvi; Lampi, Anna-Maija; Piironen, Vieno; Fritz-Ton, Cornelia; Wagner, Karl-Heinz",2010,Food Chemistry,10.1016/j.foodchem.2009.04.062,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Structural characterisation of pentosans from hemicellulose B of wheat varieties with varying chapati-making quality,"Revanappa, S.B.; Nandini, C.D.; Salimath, P.V.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.064,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
On-line HPLC–MS–DPPH assay for the analysis of phenolic antioxidant compounds in fruit wine: Antidesma thwaitesianum Muell.,"Nuengchamnong, Nitra; Ingkaninan, Kornkanok",2010,Food Chemistry,10.1016/j.foodchem.2009.04.069,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Application of artificial neural networks to the prediction of the antioxidant activity of essential oils in two experimental in vitro models,"Cabrera, Alvaro Cortes; Prieto, Jose M.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.070,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Effect of cultivar and environment on physicochemical and cooking characteristics of field pea (Pisum sativum),"Wang, Ning; Hatcher, David W.; Warkentin, Thomas D.; Toews, Ruth",2010,Food Chemistry,10.1016/j.foodchem.2009.04.082,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Flavan-3-ol contents, anti-oxidative and α-glucosidase inhibitory activities of Cynomorium songaricum","Ma, Chao-Mei; Sato, Naoto; Li, Xiao-Yu; Nakamura, Norio; Hattori, Masao",2010,Food Chemistry,10.1016/j.foodchem.2009.04.083,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
The effect of MgCl2 on the kinetics of the Maillard reaction in both aqueous and dehydrated systems,"Matiacevich, Silvia B.; Santagapita, Patricio R.; Buera, María del Pilar",2010,Food Chemistry,10.1016/j.foodchem.2009.04.084,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
High-power gradient diffusion NMR spectroscopy for the rapid assessment of extra-virgin olive oil adulteration,"Šmejkalová, Daniela; Piccolo, Alessandro",2010,Food Chemistry,10.1016/j.foodchem.2009.04.088,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antimicrobial potential of Coriandrum sativum L. against different Candida species in vitro,"Begnami, A.F.; Duarte, M.C.T.; Furletti, V.; Rehder, V.L.G.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.089,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Direct determination of free tryptophan contents in soy sauces and its application as an index of soy sauce adulteration,"Zhu, Yonghong; Yang, Yan; Zhou, Zhaoxu; Li, Genrong; Jiang, Mei; Zhang, Chun; Chen, Shiqi",2010,Food Chemistry,10.1016/j.foodchem.2009.04.090,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
The potential of coupling information using three analytical techniques for identifying the geographical origin of Liguria extra virgin olive oil,"Casale, Monica; Casolino, Chiara; Oliveri, Paolo; Forina, Michele",2010,Food Chemistry,10.1016/j.foodchem.2009.04.091,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Authentication of extra virgin olive oils by Fourier-transform infrared spectroscopy,"Lerma-García, M.J.; Ramis-Ramos, G.; Herrero-Martínez, J.M.; Simó-Alfonso, E.F.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.092,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antioxidant activities of malt extract from barley (Hordeum vulgare L.) toward various oxidative stress in vitro and in vivo,"Qingming, Yang; Xianhui, Pan; Weibao, Kong; Hong, Yang; Yidan, Su; Li, Zhang; Yanan, Zhang; Yuling, Yang; Lan, Ding; Guoan, Liu",2010,Food Chemistry,10.1016/j.foodchem.2009.04.094,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Effects of heat treatment and acid-induced gelation on aroma release from flavoured skim milk,"Perreault, V.; Britten, M.; Turgeon, S.L.; Seuvre, A.-M.; Cayot, P.; Voilley, A.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.095,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antioxidant and antiproliferative activities of phytochemicals from Quince (Cydonia vulgaris) peels,"Alesiani, Daniela; Canini, Antonella; D’Abrosca, Brigida; DellaGreca, Marina; Fiorentino, Antonio; Mastellone, Claudio; Monaco, Pietro; Pacifico, Severina",2010,Food Chemistry,10.1016/j.foodchem.2009.04.098,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Changes in durum wheat kernel and pasta proteins induced by toasting and drying processes,"Lamacchia, Carmela; Baiano, Antonietta; Lamparelli, Sara; Notte, Ennio La; Luccia, Aldo Di",2010,Food Chemistry,10.1016/j.foodchem.2009.04.100,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Solutions properties and solute–solvent interactions in ternary sugar–salt–water solutions,"Seuvre, A.M.; Mathlouthi, M.",2010,Food Chemistry,10.1016/j.foodchem.2009.04.101,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
